"Date","Location","Hardness","Turbidity","Fecal.Coliform","Dissolved.oxygen","Oil.and.Grease","Temperature","TSS","Ammonia.nitrogen","pH","Specific.conductance","Bromide","Phosphorus","Fluoride","Salinity","Kjeldahl.nitrogen","Chloride","Sulfate","Ammonia"
"2016-08-10","CT_Umstead",NA,31,580,6.61,NA,28.4,NA,NA,7.19,69.9,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-10","CT_WakeForestRd",NA,24,1000,6.74,NA,27.4,NA,NA,7.28,91.9,NA,NA,NA,NA,NA,NA,NA,NA
"2016-03-10","CT_Umstead",NA,70,36,7.7,NA,16.7,NA,NA,7.65,183.4,NA,NA,NA,NA,NA,NA,NA,NA
"2016-12-12","Pigeon_House",NA,7.9,750,8.32,0,9.1,NA,NA,7.24,652.6,NA,NA,NA,NA,NA,NA,NA,NA
"2016-12-12","CT_Umstead",NA,21,39,11.35,NA,7.6,NA,NA,7.67,82.1,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-10","Pigeon_House",NA,17,1500,4.13,0,24.3,NA,NA,7.15,380.8,NA,NA,NA,NA,NA,NA,NA,NA
"2016-10-19","NeuseRiver",NA,21,60,8.2,NA,20.8,7.5,0.43,7,77,0,0.05,0,NA,1,5.4,3.4,NA
"2016-11-07","Pigeon_House",NA,2.5,1700,7.49,0,13.3,NA,NA,7.23,335.8,NA,NA,NA,NA,NA,NA,NA,NA
"2016-10-12","CT_Umstead",20,85,450,8.98,NA,18.8,33,NA,6.73,56.9,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-11","CT_Umstead",NA,25,9,8.37,NA,24.1,NA,NA,7.54,127.5,NA,NA,NA,NA,NA,NA,NA,NA
"2016-08-31","NeuseRiver",NA,2.9,22,6.66,NA,24.6,NA,0.04,7.23,97.9,NA,0.02,NA,NA,0.52,NA,NA,NA
"2016-05-11","CT_WakeForestRd",NA,18,120,8.07,NA,21.5,NA,NA,6.82,151.7,NA,NA,NA,NA,NA,NA,NA,NA
"2016-05-11","CT_EbenezerChurch",NA,17,37,7.27,NA,22.5,NA,0.08,7.17,151.4,NA,0.1,NA,NA,0.71,NA,NA,NA
"2016-03-10","CT_WakeForestRd",NA,16,180,9.79,NA,15.9,NA,NA,7.11,200.6,NA,NA,NA,NA,NA,NA,NA,NA
"2016-11-07","CT_EbenezerChurch",NA,6,77,10.22,NA,13.2,NA,0.02,7.36,359.4,NA,0.34,NA,NA,0.84,NA,NA,NA
"2016-10-12","Pigeon_House",94,3.2,1000,8.2,0,16.1,0,NA,7.2,357.4,NA,NA,NA,NA,NA,NA,NA,NA
"2016-02-26","NeuseRiver",NA,21,7,13.38,NA,8,NA,0.06,6.67,89.3,NA,0.06,NA,NA,0.56,NA,NA,NA
