"day_of_week","day","month","year","road","road_feature","weather","traffic_control"
"Tuesday",9,"July",2019,"FALLS OF NEUSE RD","Four-way intersection","Clear","Stop and go signal"
"Tuesday",16,"July",2019,"1936 CRAG BURN LN","Driveway, private","Clear","No control present"
"Tuesday",30,"July",2019,"HILLSBOROUGH  ST","No Special Feature","Clear","No control present"
"Thursday",8,"August",2019,"LYNN RD","No Special Feature","Clear","No control present"
"Monday",19,"August",2019,"WILLIAMS RD","No Special Feature","Clear","Stop sign"
"Wednesday",21,"August",2019,"MAYVIEW RD","No Special Feature","Cloudy","No control present"
"Wednesday",28,"August",2019,"CAPITAL  BLVD","T-intersection","Clear","Stop sign"
"Sunday",1,"September",2019,"S WEST ST","No Special Feature","Cloudy","Stop and go signal"
"Tuesday",10,"September",2019,"4100 WESTERN BLVD","Driveway, public","Clear","No control present"
"Friday",13,"September",2019,"WESTERN BLVD","No Special Feature","Clear","No control present"
"Monday",16,"September",2019,"WESTERN  BLVD","No Special Feature","Clear","Stop and go signal"
"Tuesday",24,"September",2019,"HOVINGHAM WAY","No Special Feature","Clear","No control present"
"Tuesday",1,"October",2019,"GORMAN ST","No Special Feature","Clear","No control present"
"Thursday",3,"October",2019,"N STATE ST","Four-way intersection","Clear","Stop sign"
"Tuesday",8,"October",2019,"PACIFIC DR","Y-intersection","Cloudy","Stop and go signal"
"Friday",11,"October",2019,"OAKWOOD AVE","No Special Feature","Clear","Stop and go signal"
"Thursday",17,"October",2019,"FORUM DR","Driveway, public","Clear","No control present"
